episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.8483972703005253, 0.8809523809523809, 0.925, 0.825, 0.8409090909090909, 0.12244897959183676, 86, 156, 3.466628, 20
1, 3.9639930090733277, 0.891566265060241, 0.925, 0.85, 0.8604651162790697, 0.4285714285714286, 56, 119, 12.329427, 65
2, 1.5167936532439472, 0.9024390243902439, 0.925, 0.875, 0.8809523809523809, 0.20408163265306123, 78, 164, 4.923163, 28
3, 2.5354215805019007, 0.891566265060241, 0.925, 0.85, 0.8604651162790697, 0.2857142857142857, 70, 141, 7.274467, 40
4, 4.186011021391391, 0.9024390243902439, 0.925, 0.875, 0.8809523809523809, 0.44897959183673475, 54, 119, 11.913805, 68
5, 0.8519162316089236, 0.8604651162790697, 0.925, 0.775, 0.8043478260869565, 0.1428571428571429, 84, 156, 3.122408, 17
6, 0.6443156376474638, 0.8809523809523809, 0.925, 0.825, 0.8409090909090909, 0.10204081632653061, 88, 163, 2.50008, 14
7, 1.063355342136855, 0.8705882352941177, 0.925, 0.8, 0.8222222222222222, 0.15306122448979587, 83, 155, 3.464617, 19
8, 2.5635620417995573, 0.9024390243902439, 0.925, 0.875, 0.8809523809523809, 0.29591836734693877, 69, 138, 7.116393, 34
9, 0.6580386805885142, 0.8604651162790697, 0.925, 0.775, 0.8043478260869565, 0.13265306122448983, 85, 156, 3.334759, 18
10, 2.8721562743794524, 0.891566265060241, 0.925, 0.85, 0.8604651162790697, 0.34693877551020413, 64, 130, 8.320948, 45
11, 1.1756002400960384, 0.8705882352941177, 0.925, 0.8, 0.8222222222222222, 0.173469387755102, 81, 153, 3.511947, 20
12, 2.3594804091464954, 0.9024390243902439, 0.925, 0.875, 0.8809523809523809, 0.2755102040816326, 71, 144, 6.454938, 36
13, 0.6436180357221661, 0.891566265060241, 0.925, 0.85, 0.8604651162790697, 0.10204081632653061, 88, 168, 3.007367, 16
